Lettre;Français;Allemand;Espagnol;Portugais;Italien;Anglais
a;7.636%;6.51%;12.53%;14.63%;11.74%;8.08 %
b;0.901%;1.89%;1.42%;1.04%;0.92%;1.67 %
c;3.260%;3.06%;4.68%;3.88%;4.5%;3.18 %
d;3.669%;5.08%;5.86%;4.99%;3.73%;3.99 %
e;14.715%;17.40%;13.68%;12.57%;11.79%;12.56 %
f;1.066%;1.66%;0.69%;1.02%;0.95%;2.17 %
g;0.866%;3.01%;1.01%;1.30%;1.64%;1.80 %
h;0.737%;4.76%;0.70%;1.28%;1.54%;5.27 %
i;7.529%;7.55%;6.25%;6.18%;11.28%;7.24 %
j;0.545%;0.27%;0.44%;0.40%;0.00%;0.14 %
k;0.049%;1.21%;0.01%;0.02%;0.00%;0.63 %
l;5.456%;3.44%;4.97%;2.78%;6.51%;4.04 %
m;2.968%;2.53%;3.15%;4.74%;2.51%;2.60 %
n;7.095%;9.78%;6.71%;5.05%;6.88%;7.38 %
o;5.378%;2.51%;8.68%;10.73%;9.83%;7.47 %
p;3.021%;0.79%;2.51%;2.52%;3.05%;1.91 %
q;1.362%;0.02%;0.88%;1.20%;0.51%;0.09 %
r;6.553%;7.00%;6.87%;6.53%;6.37%;6.42 %
s;7.948%;7.27%;7.98%;7.81%;4.98%;6.59 %
t;7.244%;6.15%;4.63%;4.74%;5.62%;9.15 %
u;6.311%;4.35%;3.93%;4.63%;3.01%;2.79 %
v;1.628%;0.67%;0.90%;1.67%;2.10%;1.00 %
w;0.114%;1.89%;0.02%;0.01%;0.00%;1.89 %
x;0.387%;0.03%;0.22%;0.21%;0.00%;0.21 %
y;0.308%;0.04%;0.90%;0.01%;0.00%;1.65 %
z;0.136%;1.13%;0.52%;0.47%;0.49%;0.07 %
;;;;;;
